"","to","for","and","on","you","this","i","is","in","be","from","have","we","at","that","deal","will","with","if","please","are","not","or","as","by","meter","me","your","was","can","need","thanks","any","message","may","should","our","know","original","do","has","all","been","these","day","they","volume","up","out","there","contract","no","more","here","only","us","information","new","company","price","free","get","one","mail","investment","my","but","about","now","which","its","prices","business","contact","news","over","report","money","stock","their","securities","statements","time","many","reply","looking","total_word_count","label"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Ham"
"2",0.970873786407767,0.728155339805825,0.728155339805825,1.45631067961165,0.242718446601942,0,0.485436893203883,0,0.242718446601942,0.242718446601942,0.728155339805825,0,0.242718446601942,0.728155339805825,0.485436893203883,0,0,0.485436893203883,0,0.485436893203883,0.242718446601942,0,0.242718446601942,0.242718446601942,0.728155339805825,0,0,0,0,0.242718446601942,0,0.242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0.242718446601942,0,0,0.485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485436893203883,0,0.242718446601942,0,0.242718446601942,0,0.242718446601942,0.242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242718446601942,0,0,0,412,"Ham"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Ham"
"4",1.25,1.875,0,2.5,1.25,1.25,0,0,0,0,1.875,0.625,0,0,0,1.25,0,0.625,0,0,0,0.625,0.625,0,1.25,0,0.625,0,0,0.625,0,0.625,0,0,0,0,0,0,0,0,0.625,0,0.625,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,"Ham"
"5",1.94805194805195,0.649350649350649,0,1.94805194805195,0,1.2987012987013,1.2987012987013,0,0.649350649350649,0.649350649350649,0,1.2987012987013,0,0.649350649350649,0,0,0,0,0,0.649350649350649,0.649350649350649,0,0,0,1.2987012987013,1.94805194805195,0,0,0.649350649350649,0.649350649350649,0,0.649350649350649,0,0,0,0.649350649350649,0,0,0,0,0,0,0.649350649350649,0.649350649350649,0,0,1.2987012987013,0,0,1.2987012987013,1.94805194805195,1.2987012987013,0,0,0,0,0,0,0,0,0,0.649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649350649350649,0,0,0,0,0,0,154,"Ham"
"6",3,2,3,1,0,2,1,4,3,0,1,0,1,4,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Ham"
"7",2.8169014084507,0,0,0,0,1.40845070422535,1.40845070422535,1.40845070422535,0,0,0,0,0,0,1.40845070422535,0,0,0,0,0,0,0,0,0,0,1.40845070422535,1.40845070422535,0,0,0,1.40845070422535,0,0,0,0,0,0,1.40845070422535,0,0,0,0,0,0,0,0,0,0,4.22535211267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,"Ham"
"8",0,0,0,1.05263157894737,0.526315789473684,0,0.526315789473684,0,0,0.526315789473684,0.526315789473684,0.526315789473684,0,0.526315789473684,0,0,1.05263157894737,0.526315789473684,0.526315789473684,0,0,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789473684,0,0.526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0,0,0,0.526315789473684,0,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,"Ham"
"9",3.63636363636364,0.363636363636364,1.81818181818182,2.90909090909091,0,2.54545454545455,0.727272727272727,4,0.363636363636364,1.09090909090909,0.727272727272727,0.363636363636364,1.45454545454545,1.45454545454545,2.54545454545455,0.727272727272727,0.363636363636364,1.09090909090909,0.727272727272727,0,0.727272727272727,0.727272727272727,1.09090909090909,0,0,1.09090909090909,0,0,0.363636363636364,0,1.45454545454545,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0.363636363636364,0.727272727272727,0,0,0.727272727272727,0,0,0.727272727272727,0.363636363636364,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,"Ham"
"10",5.18672199170125,1.45228215767635,1.86721991701245,1.2448132780083,0.622406639004149,1.45228215767635,1.2448132780083,0.829875518672199,0.829875518672199,0.622406639004149,0.622406639004149,0.20746887966805,0.4149377593361,0.20746887966805,0.20746887966805,0,1.03734439834025,0.20746887966805,0.622406639004149,0.622406639004149,0,0.20746887966805,0.622406639004149,0.622406639004149,0,0,0.4149377593361,0.20746887966805,0,0.4149377593361,0,0.829875518672199,0.622406639004149,0,0,0,0.622406639004149,0.20746887966805,0,0.20746887966805,0.4149377593361,0.829875518672199,0,0.4149377593361,0,0,0.4149377593361,0.4149377593361,0,0.20746887966805,0,0,0,0,0.20746887966805,0,0,0.20746887966805,0,0,0.20746887966805,0.20746887966805,0,0,0,0.4149377593361,0.20746887966805,0,0,0,0,0,0.4149377593361,0,0,0.4149377593361,0,0,0,0,0,0,0,0,0,0,482,"Ham"
"11",5.92592592592593,1.48148148148148,2.22222222222222,1.11111111111111,0.37037037037037,1.85185185185185,1.11111111111111,0.740740740740741,1.48148148148148,0.37037037037037,1.11111111111111,0.37037037037037,0,0.37037037037037,0,0,1.85185185185185,0.37037037037037,0.740740740740741,0.740740740740741,0,0.37037037037037,1.11111111111111,1.11111111111111,0,0,0.37037037037037,0,0,0,0,0.740740740740741,0.740740740740741,0,0,0,0,0,0,0,0.37037037037037,0,0,0.740740740740741,0,0,0.740740740740741,0.37037037037037,0,0,0,0,0,0,0.37037037037037,0,0,0,0,0,0.37037037037037,0.37037037037037,0,0,0,0.37037037037037,0.37037037037037,0,0,0,0,0,0,0,0,0.740740740740741,0,0,0,0,0,0,0,0,0,0,270,"Ham"
"12",0.645161290322581,1.93548387096774,0.645161290322581,1.29032258064516,0,0.645161290322581,1.93548387096774,0,0,0,0,0,0.645161290322581,0,0,0,0.645161290322581,1.29032258064516,0,0,0,0,0,0.645161290322581,0.645161290322581,0,0,0,1.29032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645161290322581,0,0,0,0,0,0,0,0,0.645161290322581,0,0,0,0,0,0,0,0,0,1.29032258064516,0,0.645161290322581,0.645161290322581,0,0,0.645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,"Ham"
"13",0,0.943396226415094,0,1.88679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,"Ham"
