"","word_count","avg_word_length","spl_char_count","digit_count","space_count","char_count","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z","0","1","2","3","4","5","6","7","8","9","small_word_count","large_word_count","label"
"1",137,5.78102189781022,31,4,146,969,45,13,30,37,112,9,20,32,52,1,5,41,25,60,60,12,1,56,57,55,24,9,13,2,17,1,1,1,1,1,1,1,1,1,1,2,45,26,"Spam"
"2",62,5.62903225806452,16,1,73,438,21,2,16,17,34,7,4,8,28,1,4,14,7,22,36,17,3,31,24,18,13,5,4,2,10,1,1,1,1,1,1,1,1,1,1,1,19,10,"Spam"
"3",31,4.48387096774194,2,4,31,172,17,2,8,2,20,3,2,8,5,1,1,5,3,11,8,5,1,7,1,16,3,1,5,1,2,1,1,1,1,1,2,1,1,1,1,1,16,3,"Spam"
"4",515,4.93980582524272,65,28,567,3176,194,37,93,79,291,57,33,99,190,4,4,112,58,202,191,47,6,155,176,236,105,33,49,4,61,1,8,3,3,5,2,2,1,2,2,1,211,64,"Spam"
"5",549,5.75227686703097,155,153,698,4011,287,32,124,101,265,49,35,55,300,2,23,136,90,275,250,104,3,201,276,221,66,25,39,5,40,1,66,9,33,21,5,3,1,6,5,4,186,107,"Spam"
"6",16,7.8125,7,1,19,151,8,2,5,5,10,4,4,1,11,3,1,9,5,4,4,9,1,5,7,8,4,5,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,4,"Spam"
"7",321,2.92523364485981,60,150,376,1375,38,21,23,13,58,13,24,22,65,19,17,68,14,50,69,21,9,60,48,52,17,10,22,6,25,5,8,11,30,18,17,15,16,1,12,22,219,4,"Spam"
"8",86,5.13953488372093,19,6,95,556,45,4,10,21,36,6,15,16,37,1,4,20,17,31,36,13,1,28,40,29,13,5,6,1,2,1,2,1,1,1,1,1,1,1,1,2,28,13,"Spam"
"9",133,6.34586466165414,20,4,146,1010,61,10,26,32,91,24,10,27,58,4,4,47,22,47,74,24,4,69,60,58,35,11,17,2,18,5,1,1,1,1,1,1,1,1,1,1,47,30,"Spam"
"10",94,5.96808510638298,24,7,112,697,37,22,23,23,58,17,17,16,29,5,14,21,11,27,40,18,6,37,27,34,21,10,13,6,16,6,4,2,1,1,1,1,1,1,1,1,34,18,"Spam"
