"","word_count","avg_word_length","spl_char_count","digit_count","space_count","char_count","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z","0","1","2","3","4","5","6","7","8","9","small_word_count","large_word_count","label"
"1",79,4.81012658227848,25,32,99,504,24,9,15,11,41,7,3,11,30,1,2,18,13,18,26,4,1,27,28,22,17,5,6,1,9,1,6,2,5,5,3,2,2,2,4,1,31,10,"Spam"
"2",159,5.15094339622642,53,21,201,1073,70,23,34,40,89,18,19,19,51,1,11,38,26,35,64,29,1,62,36,57,36,10,14,5,10,1,1,2,6,1,4,3,3,1,1,1,60,21,"Spam"
"3",125,4.544,16,1,132,716,46,14,17,21,64,9,7,23,48,1,7,33,19,36,40,11,2,29,37,50,22,2,10,1,19,1,1,1,1,1,1,1,1,1,1,1,61,16,"Spam"
"4",110,5.41818181818182,20,1,127,743,39,14,19,22,59,10,9,13,41,2,9,21,29,42,47,19,3,39,26,59,29,3,12,3,22,5,1,1,1,1,1,1,1,1,1,1,33,17,"Spam"
"5",97,5.57731958762887,12,10,101,654,33,7,19,17,69,10,9,25,29,3,1,21,16,33,42,7,1,46,41,53,22,1,19,1,7,1,4,1,2,1,3,1,1,1,1,1,31,18,"Spam"
"6",117,5.09401709401709,26,19,129,751,37,6,24,16,80,21,8,20,44,1,5,30,15,30,52,10,1,45,23,50,17,14,11,1,16,1,1,4,2,1,1,3,1,4,2,3,37,17,"Spam"
"7",197,4.83756345177665,21,13,210,1184,71,23,25,39,106,25,19,57,59,2,8,36,24,57,69,21,1,67,49,99,33,3,26,1,21,1,8,2,2,1,1,1,1,1,1,1,80,22,"Spam"
"8",24,5.33333333333333,3,13,24,155,10,2,4,4,15,1,2,1,6,1,2,3,6,8,8,2,1,8,8,15,4,1,2,1,3,1,1,5,2,1,1,4,1,2,1,1,8,4,"Spam"
"9",954,5.54297693920335,210,211,1144,6642,392,70,201,179,611,103,115,157,382,11,47,253,160,400,376,134,5,372,349,384,161,41,71,16,83,4,58,36,27,19,10,9,10,12,21,9,341,144,"Spam"
"10",51,4.41176470588235,11,41,58,294,15,3,6,6,27,3,3,6,11,1,3,14,4,14,12,2,1,14,12,14,8,1,4,1,1,1,4,6,8,4,3,3,1,2,1,9,23,4,"Spam"
"11",137,5.78102189781022,31,4,146,969,45,13,30,37,112,9,20,32,52,1,5,41,25,60,60,12,1,56,57,55,24,9,13,2,17,1,1,1,1,1,1,1,1,1,1,2,45,26,"Spam"
"12",133,4.91729323308271,33,9,160,847,46,18,19,23,75,16,20,30,40,6,8,34,15,43,48,11,2,41,34,56,24,7,9,1,18,1,2,1,2,1,2,1,1,1,1,1,53,14,"Spam"
"13",137,6.62773722627737,21,2,150,1079,62,10,27,44,111,22,17,34,63,5,7,48,22,47,72,28,6,67,65,60,29,12,14,8,21,5,1,1,1,1,1,1,1,1,1,1,43,32,"Spam"
"14",146,6.9041095890411,24,111,161,1193,63,9,36,42,108,29,6,15,65,2,7,35,39,45,82,37,3,79,74,46,16,9,31,12,7,1,50,9,23,5,9,1,2,5,3,4,28,41,"Spam"
"15",117,5.09401709401709,26,19,129,751,37,6,24,16,80,21,8,20,44,1,5,30,15,30,52,10,1,45,23,50,17,14,11,1,16,1,1,4,2,1,1,3,1,4,2,3,37,17,"Spam"
"16",646,4.82198142414861,921,67,1563,5599,185,52,138,69,381,43,66,113,204,5,26,119,103,176,281,83,7,210,214,248,94,35,114,11,69,2,26,9,9,4,6,3,1,1,6,2,244,66,"Spam"
"17",132,5.03787878787879,22,1,140,827,53,12,12,17,63,11,15,27,44,2,10,32,22,38,69,23,1,49,43,62,25,4,11,2,19,1,1,1,1,1,1,1,1,1,1,1,47,13,"Spam"
"18",855,4.41637426900585,166,8,1011,4953,343,73,100,151,476,96,89,216,240,2,28,117,104,292,279,62,5,218,228,364,99,30,87,10,58,1,2,1,1,1,1,1,1,1,1,1,378,53,"Spam"
"19",154,4.88311688311688,65,93,181,998,71,14,29,14,89,12,8,17,38,2,2,38,30,37,42,16,3,42,48,47,28,10,5,2,15,1,23,18,10,9,5,11,4,6,3,4,66,19,"Spam"
"20",82,4.76829268292683,42,1,120,553,36,7,15,11,41,5,6,17,31,3,2,20,18,23,23,11,2,20,18,28,12,10,6,14,5,7,1,1,1,1,1,1,1,1,1,1,35,8,"Spam"
"21",477,5.0230607966457,89,8,550,3035,175,40,70,77,286,59,40,96,165,10,13,86,85,185,230,43,1,159,152,206,76,22,41,11,61,1,2,1,1,3,1,1,1,1,1,1,190,59,"Spam"
"22",6,5,3,1,7,40,1,1,2,1,2,1,3,1,2,1,1,1,1,2,4,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,"Spam"
"23",307,4.7785016286645,127,115,426,2020,108,17,74,37,152,40,19,34,92,3,10,54,39,70,141,45,1,111,96,82,48,18,25,3,32,1,17,8,10,5,11,20,3,1,4,36,145,42,"Spam"
"24",477,5.0230607966457,89,8,550,3035,175,40,70,77,286,59,40,96,165,10,13,86,85,185,230,43,1,159,152,206,76,22,41,11,61,1,2,1,1,3,1,1,1,1,1,1,190,59,"Spam"
"25",2318,4.78990509059534,714,138,2910,14727,752,218,347,329,1345,247,219,415,775,33,113,444,310,668,937,273,18,657,855,956,398,130,225,36,250,15,24,21,27,9,13,9,5,12,14,4,917,266,"Spam"
"26",62,5.11290322580645,18,6,71,406,26,6,16,10,34,7,9,9,21,2,4,14,4,12,24,8,1,27,25,19,13,9,2,1,8,1,1,1,1,1,1,1,2,1,1,1,17,6,"Spam"
"27",103,5,20,8,116,651,54,14,14,20,51,9,8,17,39,2,4,32,16,32,35,8,1,31,24,45,20,4,13,1,12,1,4,1,1,1,1,1,1,1,1,1,34,11,"Spam"
"28",19,5.10526315789474,9,5,24,130,5,1,6,3,9,2,3,3,3,1,1,2,6,4,10,5,1,6,7,12,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,1,"Spam"
"29",4138,4.76486225229579,1499,220,5455,26671,1401,323,571,622,2601,403,343,752,1287,30,163,842,528,1169,1601,392,21,1338,1290,1884,749,192,419,28,533,15,59,37,33,17,11,15,7,14,12,15,1610,455,"Spam"
"30",96,4.875,18,5,105,591,35,1,17,17,50,15,3,12,26,1,5,9,18,30,45,18,1,35,30,44,21,3,17,1,11,1,2,1,1,1,1,1,1,1,1,1,37,10,"Spam"
